id;customer_id;customer_title;order_side;order_side_id;price;quantity;value;validity_date;minimum_quantity;disclosed_quantity;validity_type;bank_account_id;expected_remaining_quantity;traded_quantity;category_id;remaining_quantity;order_executer_id
1;60956;Berkshire Small Plastic Pants Investor;Canadian Dollar;53093;48945;44778;98565;Persistent Bulgarian Lev;76161;36965;23763;24215;72821;80313;Point Orchestrator;39882;53577
2;81643;optical;installation;18651;69581;4077;85835;neural-net red;71114;51209;80950;22649;34866;64517;Sausages;69093;39757
3;38673;Creative Metal;bandwidth azure;54144;87733;69578;25794;deposit;81722;98216;55520;51663;52965;26082;Executive;96541;89721
4;55829;THX pink even-keeled;bus Internal AI;77987;88777;64203;85092;Marketing;78534;89855;66898;60642;58068;919;Unbranded invoice;506;28392
5;16080;Latvia;Ports Manager Fish;1807;23724;49389;32539;navigate;64963;74417;84922;72093;65761;30806;Benin Berkshire;63633;26520
6;25046;Wisconsin;target Human withdrawal;79481;35007;50263;64510;Libyan Dinar CSS;23018;72245;49919;28077;57200;2431;deposit Chips Applications;95392;27956
7;91486;out-of-the-box Automotive Tactics;Venezuela Wisconsin;98033;85300;7534;29444;reinvent;85113;26847;31692;48527;16949;37268;matrix calculating;93001;57006
8;7041;orchid;Director Concrete Bedfordshire;87737;32255;74076;84866;Metal array France;29651;80936;41978;81011;25620;86707;Senior Avon;50151;62789
9;79829;deposit;extend Unbranded Fresh Pants Tools;57886;9398;43847;57828;Garden Dale Wallis and Futuna;28654;83893;59083;86040;3050;25025;Licensed Plastic Pants;53708;12706
10;32665;synthesizing composite;Investment Account Refined Intelligent Granite Shirt;54063;69951;63742;13835;Frozen Analyst card;4106;79518;39882;27083;43352;43897;Gorgeous Electronics Brand;83598;42831
