id;first_name;last_name;account_type;username;password;active
1;Garnett;Schinner;AGAH;Small;FTP Savings Account;true
2;Mac;Aufderhar;AGAH;red Chips Soap;Home Loan Account;false
3;Holden;Bahringer;AGAH;Gorgeous Frozen Pants;Common;true
4;Liana;Dooley;AGAH;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music;false
5;Markus;Fisher;AGAH;Salad;Digitized invoice;false
6;Hermann;Leannon;AGAH;Facilitator;Views e-enable Communications;true
7;Theodora;Hane;AGAH;Tactics;scale interactive generating;false
8;Virgie;Goyette;AGAH;Small;deliverables reinvent 24 hour;false
9;Raven;Dooley;AGAH;deposit Internal;Investment Account archive Fantastic Plastic Chicken;false
10;Mandy;Rempel;AGAH;Frozen bus;hard drive Robust Networked;false
